Name,Ministry,Description,Sector,Target Audience,Level,Beneficiary State,Source,Source URL,Scheme ID,Is Active,Scraped At,Created At,Updated At
"Integrated Programme for Older Persons","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427811753-etpargrzc",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:11.803Z,2025-08-17T10:50:11.803Z
"Ishan Uday Special Scholarship Scheme for North Eastern Region","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808668-n8lhfeqc5",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.717Z,2025-08-17T10:50:08.717Z
"Janani suraksha yojana","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427808136-ttneos0cb",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:08.185Z,2025-08-17T10:50:08.185Z
"Journalist Welfare Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427813926-5809rsj5h",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:13.975Z,2025-08-17T10:50:13.975Z
"Krishi Unnati Yojana (KUY)-MOVCDNER","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427807029-gkuzejq23",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:07.088Z,2025-08-17T10:50:07.088Z
"National Apprenticeship Promotion Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816923-404quuv5d",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.973Z,2025-08-17T10:50:16.973Z
"National Family Benefit Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427810314-5hq2vxdfz",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:10.362Z,2025-08-17T10:50:10.362Z
"National Handicrafts Development Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818066-iqyzihzg3",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.115Z,2025-08-17T10:50:18.115Z
"National Handloom Development Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817959-kw5bx77m1",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.013Z,2025-08-17T10:50:18.013Z
"National Means-cum-Merit Scholarship Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427810414-vuikr90s3",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:10.461Z,2025-08-17T10:50:10.461Z
"National Overseas Scholarship Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818381-ozwidrbgi",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.430Z,2025-08-17T10:50:18.430Z
"National Pension Scheme for Traders and Self Employed Persons [erstwhile Pradhan Mantri Laghu Vyapari Maan-dhan (PM-LVM) Yojana]","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815133-gqxumzfzz",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:15.181Z,2025-08-17T10:50:15.181Z
"National Renewable Energy Fellowship Programme and National Solar Science Fellowship Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816172-mqg1lz554",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.222Z,2025-08-17T10:50:16.222Z
"National Scheme of Incentive to Girls for Secondary Education","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427810513-gjztbjn79",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:10.561Z,2025-08-17T10:50:10.561Z
"New Employment Generation Scheme -Part B","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815339-mlxbcspiu",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:15.390Z,2025-08-17T10:50:15.390Z
"New Employment Generation Scheme -Part C","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815445-x5nnpldzk",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:15.496Z,2025-08-17T10:50:15.496Z
"New National Biogas and Organic Manure Programme (NNBOMP)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816275-61cjhowxp",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.326Z,2025-08-17T10:50:16.326Z
"PM DAKSH Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427812063-jg0nqw0kp",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:12.111Z,2025-08-17T10:50:12.111Z
"PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment","Ministry of Education","No description available","Health & Wellness, Social welfare & Empowerment","Individual","Central","All","api","https://www.myscheme.gov.in","VRezF5gB5uF80_MGII_8",Yes,2025-08-15T18:33:32.001Z,2025-08-15T18:35:41.800Z,2025-08-15T18:35:41.800Z
"PM-SURYA GHAR MUFT BIJLI YOJANA","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427816588-dps9bl62s",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:16.637Z,2025-08-17T10:50:16.637Z
"PMEGP Prime Ministers Employment Generation Programme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427815549-ngeyw4g0y",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:15.603Z,2025-08-17T10:50:15.603Z
"PRADHAN MANTRI VIDYALAXMI (PM-Vidyalaxmi) SCHEME","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809283-k05qp5uil",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.331Z,2025-08-17T10:50:09.331Z
"Pardhan Mantri Bhartiya Jan Aushadhi Pariyojana (PMBJP)","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427809691-73hqjzkjk",Yes,2025-08-17T10:50:06.875Z,2025-08-17T10:50:09.739Z,2025-08-17T10:50:09.739Z
"Post-Matric Scholarship Scheme for ST students","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427818277-yey46l6zh",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:18.327Z,2025-08-17T10:50:18.327Z
"Powerloom Group Workshed Scheme","Government of India","Direct Benefit Transfer Scheme","Direct Benefit Transfer","Citizens","Central","All","dbt-bharat","https://www.dbtbharat.gov.in/central-scheme/list","dbt-1755427817130-mrlm29qpb",Yes,2025-08-17T10:50:06.876Z,2025-08-17T10:50:17.178Z,2025-08-17T10:50:17.178Z
"Pradhan Mantri Adarsh Gram Yojana","Ministry Of Social Justice and Empowerment","No description available","Agriculture,Rural & Environment","Infra","Central","All","api","https://www.myscheme.gov.in","_8a0F5gB0AGc0F0iGDMR",Yes,2025-08-15T18:33:31.998Z,2025-08-15T18:35:41.595Z,2025-08-15T18:35:41.595Z
